Date,Opening,Highest,Lowest,Closing,Wolumen
2006-07-30,2.48148,2.48148,2.28485,2.33169,1114394.4086309
2006-08-06,2.30351,2.38788,2.24743,2.28485,723801.30201263
2006-08-13,2.30351,2.33169,1.91969,2.0508,1563753.0854445
2006-08-20,2.03205,2.03205,1.95711,2.01338,392410.56698976
2006-08-27,2.03205,2.15373,1.99463,2.06947,425270.45414255
2006-09-03,2.0508,2.06947,1.95711,2.01338,218543.24600983
2006-10-29,1.88227,2.48148,1.88227,2.31304,5056372.2812736
2006-11-05,2.34093,2.34093,2.00386,2.15373,1585545.3007554
2006-11-12,2.15373,2.30351,1.92902,2.08823,3504522.7976232
2006-11-19,2.07889,2.17249,1.99463,2.09766,1444069.5017905
2006-11-26,2.10688,2.17249,2.02262,2.08823,1124633.277816
2006-12-03,2.08823,2.17249,2.06024,2.11631,700101.0078579
2006-12-10,2.08823,2.11631,2.04138,2.0508,423037.57425763
2006-12-17,2.0508,2.10688,1.83542,1.95711,569970.84526225
2006-12-24,1.95711,1.96644,1.66679,1.68555,1508085.8524539
2006-12-31,1.68555,1.76058,1.68555,1.69497,228684.36942698
2007-01-07,1.76058,1.77925,1.68555,1.71364,195518.0085645
2007-01-14,1.68555,1.68555,1.6387,1.64813,241568.48345517
2007-01-21,1.6387,1.97587,1.5451,1.88227,1735631.8909592
2007-01-28,1.88227,1.95711,1.798,1.88227,602445.85845402
2007-02-04,1.83542,1.91969,1.77925,1.87284,302325.62367087
2007-02-11,1.83542,1.87284,1.76058,1.798,225995.3426253
2007-02-18,1.76058,1.81667,1.60128,1.67622,350649.70584973
2007-02-25,1.68555,1.74173,1.6387,1.72307,470907.5458899
2007-03-04,1.72307,1.73239,1.5451,1.5451,711030.20652856
2007-03-11,1.56387,1.60128,1.48883,1.59185,240740.69898346
2007-03-18,1.59185,1.77925,1.51701,1.74173,960372.53308513
2007-03-25,1.76058,1.80724,1.66679,1.76981,1024934.6309525
2007-04-01,1.798,1.798,1.68555,1.72307,446789.79585154
2007-04-08,1.73239,2.21001,1.72307,2.03205,3259932.3408445
2007-04-15,2.06947,2.06947,1.91969,1.93835,616186.2661362
2007-04-22,1.9852,2.01338,1.75106,1.86341,566157.74213
2007-04-29,1.81667,1.86341,1.67622,1.69497,699429.00570375
2007-05-06,1.70421,1.77925,1.68555,1.74173,96819.219451522
2007-05-13,1.75106,1.82599,1.55443,1.62937,597539.22454365
2007-05-20,1.62937,1.67622,1.56387,1.62937,170703.81993002
2007-05-27,1.62937,1.72307,1.60128,1.68555,838952.94386635
2007-06-03,1.85408,1.85408,1.73239,1.78848,1075816.3940574
2007-06-10,1.83542,2.26609,1.82599,2.25676,3459522.0715521
2007-06-17,2.28485,2.82808,2.27552,2.62192,7208612.9258824
2007-06-24,2.62192,2.97795,2.54709,2.92157,2937692.035154
2007-07-01,2.9966,3.05279,2.27552,2.56574,3756949.2067934
2007-07-08,2.67819,3.60524,2.64068,3.45546,6100615.7741219
2007-07-15,3.5583,4.32622,3.01537,4.1297,5952543.1540104
2007-07-22,4.68215,6.08672,4.35431,4.96304,6295197.0524108
2007-07-29,4.63531,5.14092,4.02668,4.38251,1070346.7037966
2007-08-05,4.30757,4.8226,4.02668,4.12027,856647.98240718
2007-08-12,4.12027,4.13893,3.32425,3.38052,617983.36280601
2007-08-19,3.36177,3.53963,2.62192,3.1838,544310.54482459
2007-08-26,3.41794,4.02668,3.41794,3.88613,934602.26865861
2007-09-02,3.90489,4.12027,3.5583,3.75511,399112.26119976
2007-09-09,3.69883,3.84871,3.32425,3.65209,273661.67724118
2007-09-16,3.41794,3.83005,3.41794,3.64266,182862.98617977
2007-09-23,3.56782,3.74569,3.4648,3.52087,271681.3072566
2007-09-30,3.5304,3.5304,3.27749,3.32425,172055.96971897
2007-10-07,3.3711,5.09416,3.14639,3.99849,3529047.8216944
2007-10-14,3.9705,4.9162,3.83928,4.38251,1453855.2786141
2007-10-21,4.28881,4.44801,3.9423,4.10151,490881.28264435
2007-10-28,4.08285,4.45734,3.95174,4.04543,589410.03484862
2007-11-04,4.12027,4.57913,3.95174,4.48543,515718.88953571
2007-11-11,4.55104,4.90687,3.66141,3.66141,1007385.1928783
2007-11-18,3.73626,3.90489,3.23998,3.4648,347074.85802667
2007-11-25,3.5583,3.5583,2.29427,2.94033,435940.01561727
2007-12-02,3.1838,3.23065,2.80921,2.94976,484427.00740927
2007-12-09,2.95899,3.06211,2.80921,2.92157,402683.03628249
2007-12-16,2.94976,3.3711,2.86549,3.00584,850367.81682114
2007-12-23,2.9966,3.17447,2.80921,2.86549,695643.39356871
2007-12-30,2.95899,2.95899,2.66877,2.76247,246071.91607304
2008-01-06,2.77179,2.97795,2.75313,2.80921,105489.06542513
2008-01-13,2.80921,3.08078,2.76247,2.80921,282478.14186658
2008-01-20,2.8374,2.85606,2.38788,2.69696,183126.69611603
2008-01-27,2.54709,2.62192,2.30351,2.45339,245744.06047663
2008-02-03,2.43472,2.65954,2.35046,2.51899,209460.01689292
2008-02-10,2.56574,2.61268,2.3973,2.47214,410811.20779244
2008-02-17,2.44406,2.61268,2.41597,2.45339,223503.84372954
2008-02-24,2.48148,2.75313,2.30351,2.35988,637703.57147502
2008-03-02,2.43472,2.56574,2.06024,2.21001,1104594.3772163
2008-03-09,2.16317,2.21934,1.77925,1.83542,328705.78096153
2008-03-16,1.86341,2.30351,1.73239,1.91969,1179825.0183732
2008-03-23,1.8915,2.0508,1.84476,1.95711,174665.57808424
2008-03-30,1.97587,2.04138,1.86341,1.8915,364844.2240785
2008-04-06,1.87284,1.96644,1.86341,1.88227,178992.86468292
2008-04-13,1.88227,3.65209,1.87284,2.88415,7298300.7770192
2008-04-20,2.89358,3.0902,2.35988,2.65954,3549725.1243406
2008-04-27,2.71571,2.76247,2.3973,2.47214,822344.30880805
2008-05-04,2.40654,2.78112,2.34093,2.38788,569525.8983814
2008-05-11,1.82599,2.2381,1.77925,2.15373,10136056.928186
2008-05-18,2.18182,2.18182,1.91036,1.99463,1752448.2357742
2008-05-25,2.06947,2.06947,1.88227,1.92902,513133.7176124
2008-06-01,1.96644,2.12565,1.91036,2.01338,641131.80064628
2008-06-08,2.00386,2.00386,1.76058,1.78848,671892.19015989
2008-06-15,1.76058,1.76981,1.46094,1.62937,1030803.4497653
2008-06-22,1.62937,1.78848,1.48883,1.66679,1383336.7980169
2008-06-29,1.64813,1.73239,1.40456,1.48883,887190.48031324
2008-07-06,1.47017,1.50758,1.2923,1.2923,609192.35280765
2008-07-13,1.25478,1.30163,1.08615,1.11434,1709406.497801
2008-07-20,1.08615,1.15176,0.786595,1.06748,7204501.4945211
2008-07-27,1.07692,1.18917,0.992646,1.07692,4858380.0829598
2008-08-03,1.105,1.31096,1.02074,1.24545,5103567.1961964
2008-08-10,1.23602,1.34847,1.09567,1.14252,5386232.6841181
2008-08-17,1.18917,1.18917,1.11434,1.13309,901936.85485648
2008-08-24,1.17051,1.64813,1.17051,1.53577,11422858.580389
2008-08-31,1.50758,1.6387,1.3859,1.4514,6407745.1950098
2008-09-07,1.40456,1.55443,1.37656,1.39533,4010181.0003633
2008-09-14,1.42342,1.4514,1.21737,1.26421,3088385.4636667
2008-09-21,1.21737,1.23602,1.04873,1.15176,4389499.7435681
2008-09-28,1.17995,1.25478,1.07692,1.16118,4246646.3401873
2008-10-05,1.17051,1.17995,1.00198,1.11434,3474346.8463468
2008-10-12,1.0394,1.07692,0.758506,0.814685,4122877.7979842
2008-10-19,0.861533,0.917711,0.702328,0.730417,3438568.8407488
2008-10-26,0.758506,0.796024,0.599302,0.636721,2353700.781312
2008-11-02,0.608632,0.758506,0.589873,0.692998,3951677.1037342
2008-11-09,0.683667,0.945898,0.65548,0.796024,6131935.1472455
2008-11-16,0.852104,0.861533,0.674141,0.702328,1783664.7722046
2008-11-23,0.692998,0.711658,0.608632,0.64615,687208.74834906
2008-11-30,0.65548,0.973792,0.64615,0.936372,5028087.0996944
2008-12-07,0.95513,1.15176,0.870863,1.12367,10073849.892413
2008-12-14,1.1986,1.4514,0.95513,0.983319,16730264.39364
2008-12-21,1.03006,1.18917,0.945898,0.992646,11779412.741529
2008-12-28,1.03006,1.03006,0.898952,0.917711,1125923.318315
2009-01-04,0.927041,1.04873,0.927041,1.02074,2050795.8103295
2009-01-11,1.04873,1.11434,0.973792,1.03006,3735544.9199986
2009-01-18,1.00198,1.05816,0.936372,0.964559,2093168.6007038
2009-01-25,0.983319,0.992646,0.833443,0.861533,1896994.8809465
2009-02-01,0.852104,0.889524,0.833443,0.861533,641647.00229778
2009-02-08,0.861533,0.95513,0.730417,0.945898,2339523.5722297
2009-02-15,0.964559,1.02074,0.870863,0.889524,3395237.9382123
2009-02-22,0.945898,1.0394,0.786595,0.833443,7875374.4814137
2009-03-01,0.852104,0.880291,0.814685,0.814685,1420955.6822431
2009-03-08,0.824015,0.833443,0.767837,0.777265,905952.57682006
2009-03-15,0.777265,0.842872,0.749078,0.805354,1460939.810415
2009-03-22,0.805354,0.936372,0.786595,0.917711,2486877.3536731
2009-03-29,0.936372,1.05816,0.880291,0.983319,7610747.1604055
2009-04-05,0.983319,1.0394,0.927041,0.992646,2661891.1510555
2009-04-12,1.03006,1.14252,0.964559,1.12367,4171540.9357955
2009-04-19,1.11434,1.31096,1.09567,1.31096,4308147.773698
2009-04-26,1.47017,1.57319,1.18917,1.21737,13032256.903062
2009-05-03,1.18917,1.20793,1.07692,1.13309,2458507.6627322
