Date,Opening,Highest,Lowest,Closing
04/06/2006,650.8,664.8,618.55,635.3
11/06/2006,637.5,645.15,603.8,606.95
18/06/2006,605.25,611.2,542.4,581
25/06/2006,579,594.8,560.7,582.8
02/07/2006,583.3,615.5,576.8,614.1
09/07/2006,617.9,636.9,616.3,632.7
16/07/2006,628.9,667.6,620,666.5
23/07/2006,669.8,676,615.5,620
30/07/2006,618.2,641.4,601.9,634.4
06/08/2006,636.6,656.08,628.3,644.5
13/08/2006,644.9,655,625.98,632.61
20/08/2006,627.8,632.8,607,612
27/08/2006,614.4,629.5,613.2,622.75
03/09/2006,622.4,627.45,607.1,624.33
10/09/2006,625.4,640.1,605.8,610.1
17/09/2006,606.75,608,570.75,577.9
24/09/2006,582.7,592.4,572.2,588.5
01/10/2006,587.55,606.7,582,598.6
08/10/2006,598.5,603.65,559.4,572.95
15/10/2006,574.3,590,568.9,589.2
22/10/2006,592.5,602.3,585.9,592.2
29/10/2006,591.9,599.5,573.3,597.6
05/11/2006,598.4,628.98,597.8,627.1
12/11/2006,626.9,636.4,614.2,627.7
19/11/2006,628.15,632.45,614.6,621.3
26/11/2006,621.35,639.8,619.95,637.7
03/12/2006,638.6,649.35,632.85,645.75
10/12/2006,646.95,648.55,624.95,626.1
17/12/2006,624.4,630.83,614.1,615
24/12/2006,614.8,624.23,611.5,620.3
31/12/2006,623.59,636.4,622.5,635.7
07/01/2007,636.2,644.55,601.9,606.3
14/01/2007,607.9,627.25,604.3,625.9
21/01/2007,625.8,636.1,619.9,635
28/01/2007,635.25,654.2,631.7,644.4
04/02/2007,647.3,661,640.5,646.4
11/02/2007,648.2,668.3,645.8,667.3
18/02/2007,666.8,671.8,659.7,667.8
25/02/2007,668.2,687.8,655.6,681.7
04/03/2007,682.8,688.5,640.1,642.63
11/03/2007,642.83,657.55,632.6,647.9
18/03/2007,648.9,655,636.4,652
25/03/2007,653.7,666.48,651.6,657.1
01/04/2007,657.15,668.9,655.4,663.4
08/04/2007,664.35,675.03,656.5,673.83
15/04/2007,673.2,685.1,669.9,684.1
22/04/2007,686.7,693.5,678.7,692.3
29/04/2007,693.23,693.8,670.8,680.1
06/05/2007,680.85,689.9,667.4,686.7
13/05/2007,688.54,690.1,664.2,670.5
20/05/2007,671.3,674.75,654.8,661.1
27/05/2007,663,665.1,651.6,654.7
03/06/2007,655.4,671.4,651.95,670.9
10/06/2007,671,673.75,643.9,647.2
17/06/2007,649.2,655.48,643,655.05
24/06/2007,656,661.7,647.5,653
01/07/2007,653.6,653.7,639.8,649.7
08/07/2007,650.85,658.5,644.9,653.5
15/07/2007,656.2,669,653.7,666.3
22/07/2007,666.85,686.3,662.3,683.5
29/07/2007,683.6,687.05,656.8,660.15
05/08/2007,661.6,673.2,659.1,673.2
12/08/2007,674.8,676.55,658.2,671.5
19/08/2007,671.95,672,642,656.9
26/08/2007,656.45,668.4,653.2,667.7
02/09/2007,668.1,674.3,660.9,672.5
09/09/2007,672.4,706.4,671.3,700.7
16/09/2007,699.7,717,698.9,708.15
23/09/2007,706.6,739.5,706.3,732.1
30/09/2007,730.35,745.5,721.7,744.8
07/10/2007,743.4,747.65,720.8,741.5
14/10/2007,740.8,753.4,726.9,748.3
21/10/2007,748.2,770.9,747.4,765.3
28/10/2007,766.7,785.4,745.4,784.05
04/11/2007,789.3,808,776.6,804.9
11/11/2007,804.35,845.45,800.5,832.6
18/11/2007,828.78,830.55,782.6,786.4
25/11/2007,789.3,825.54,772.74,822.65
02/12/2007,825.33,836.69,779.08,784.46
09/12/2007,785.76,806.6,777,795.4
16/12/2007,795.52,816.85,788,792.72
23/12/2007,794.96,811.96,785.31,811.4
30/12/2007,810.1,839.72,807.9,839.03
06/01/2008,842.3,868.91,830,861.2
13/01/2008,861.9,897.8,855.1,895.82
20/01/2008,897.1,914.12,870.08,882.3
27/01/2008,881.28,923.44,849.1,909.88
03/02/2008,915.3,936.79,904.68,905.98
10/02/2008,908.9,920.12,884.6,918.58
17/02/2008,922.45,927,896.58,904.2
24/02/2008,903.2,953.8,899.8,943.2
02/03/2008,947.15,976,926.48,970.4
09/03/2008,976.3,992.38,958.7,971.54
16/03/2008,974.7,1006.4,960.99,998.9
23/03/2008,1004,1032.3,904.8,914.46
30/03/2008,912.95,954.8,906.1,931.53
06/04/2008,927.92,940.56,872.38,908.36
13/04/2008,914.8,939.52,902.8,924.93
20/04/2008,920.58,952.8,904.4,916.2
27/04/2008,917.9,928.6,877.74,888.9
04/05/2008,887.2,895.48,845.51,856.65
11/05/2008,860.9,889.54,859.95,886.3
18/05/2008,885.15,904.8,859.98,900.6
25/05/2008,904.8,935.15,900.6,925.29
01/06/2008,924.2,930.74,870.7,886.96
08/06/2008,886.85,899.16,864.7,895.7
15/06/2008,903.98,909.12,857.55,870.4
22/06/2008,871.4,907.78,866.45,901.13
29/06/2008,904.56,930.7,873.48,929.69
06/07/2008,927.75,946.41,918.84,932.6
13/07/2008,931.65,967.7,912.6,961.96
20/07/2008,963.85,987.9,950.1,954
27/07/2008,955.4,975.5,917.1,927.97
03/08/2008,928.24,933.1,894.45,909.64
10/08/2008,912.2,915.4,850.5,857.1
17/08/2008,861.5,865.4,772.55,785.28
24/08/2008,793.8,838.3,782.25,827.43
31/08/2008,822.6,843.97,806.65,830.25
07/09/2008,833.7,835.5,789.25,801
14/09/2008,810.55,817.7,735.9,760.22
21/09/2008,778.7,918.3,763.75,858.5
28/09/2008,878.18,910.12,862.48,884.2
05/10/2008,870.55,913.8,817.8,830.55
12/10/2008,830.45,931.6,824.5,840.28
19/10/2008,856.64,872.12,771.3,788.45
26/10/2008,785.9,809.55,681.45,733.42
02/11/2008,739.94,777.1,706.35,724.93
09/11/2008,729.3,765.45,721.6,733.64
16/11/2008,749.62,767,700.4,743.45
23/11/2008,739.86,799.7,730.7,795.3
30/11/2008,802.87,830.05,786.4,817.9
07/12/2008,816.26,816.61,741.8,755.83
14/12/2008,759.02,834.48,759.02,818.84
21/12/2008,827.1,879.2,822.05,839.36
28/12/2008,839.9,872.97,830.2,864.55
04/01/2009,877.1,889.68,856.58,876.34
11/01/2009,881.23,884.24,836.3,856.52
18/01/2009,852.03,853.7,802.84,839.28
25/01/2009,841.73,902.4,823.53,895.88
01/02/2009,897.3,929.34,874,928.08
08/02/2009,926.8,926.8,889.38,913.3
15/02/2009,906.13,951.68,890.55,939.76
22/02/2009,941.18,1006.1,936,997.37
01/03/2009,996.24,998.02,928.2,938.96
08/03/2009,948.99,958.12,905.04,940.1
15/03/2009,938.53,941.94,891.65,928.13
22/03/2009,925.78,966.9,883.74,952.94
29/03/2009,952.15,956.9,916.76,922.8
05/04/2009,923.9,931.84,895.1,895.91
12/04/2009,892.22,893.98,865.15,881.65
19/04/2009,884.34,899.7,865.16,866.59
26/04/2009,868.56,913.68,864.78,911.8
03/05/2009,916.3,918.1,879.9,885.5
10/05/2009,887,924.94,885.62,914.65
17/05/2009,915.68,933.96,908.62,928.3
24/05/2009,930.95,961.46,917.35,957.95
31/05/2009,957.05,980.17,941.21,975.92
07/06/2009,976.29,989.7,954.3,960.82
14/06/2009,953.39,965.17,936.96,939.5
21/06/2009,935.08,941.71,925.9,934.1
